PPG, SBP, DBP 
0.31697,99,61
0.34408,99,61
0.37729,99,61
0.45763,99,61
0.50159,99,61
0.54554,99,61
0.58755,99,61
0.65617,99,61
0.67961,99,61
0.70208,99,61
0.72112,99,61
0.74750,99,61
0.75507,99,61
0.75946,99,61
0.76142,99,61
0.75922,99,61
0.75556,99,61
0.75018,99,61
0.74335,99,61
0.71722,99,61
0.69353,99,61
0.67424,99,61
0.65641,99,61
0.62051,99,61
0.60220,99,61
0.58339,99,61
0.56484,99,61
0.53089,99,61
0.51673,99,61
0.50232,99,61
0.48840,99,61
0.46325,99,61
0.45250,99,61
0.44298,99,61
0.43419,99,61
0.41905,99,61
0.41221,99,61
0.40659,99,61
0.40122,99,61
0.38901,99,61
0.38242,99,61
0.37582,99,61
0.36899,99,61
0.35531,99,61
0.34847,99,61
0.34188,99,61
0.33529,99,61
0.32430,99,61
0.32015,99,61
0.31551,99,61
0.31038,99,61
0.30061,99,61
0.29621,99,61
0.29206,99,61
0.28816,99,61
0.28107,99,61
0.27790,99,61
0.27595,99,61
0.27448,99,61
0.26984,99,61
0.26740,99,61
0.26496,99,61
0.26252,99,61
0.25739,99,61
0.25470,99,61
0.25201,99,61
0.24933,99,61
0.24493,99,61
0.24371,99,61
0.24200,99,61
0.24054,99,61
0.24176,99,61
0.24664,99,61
0.25592,99,61
0.27009,99,61
0.31551,99,61
0.34652,99,61
0.37680,99,61
0.40757,99,61
0.48303,99,61
0.52161,99,61
0.55800,99,61
0.59072,99,61
0.64200,99,61
0.66007,99,61
0.67375,99,61
0.68327,99,61
0.69158,99,61
0.69109,99,61
0.68987,99,61
0.68742,99,61
0.67790,99,61
0.67082,99,61
0.66227,99,61
0.65177,99,61
0.62589,99,61
0.61050,99,61
0.59560,99,61
0.58046,99,61
0.54628,99,61
0.52894,99,61
0.51184,99,61
0.49548,99,61
0.46593,99,61
0.45324,99,61
0.44176,99,61
0.43150,99,61
0.41661,99,61
0.41001,99,61
0.40342,99,61
0.39731,99,61
0.38535,99,61
0.37973,99,61
0.37411,99,61
0.36825,99,61
0.35629,99,61
0.34994,99,61
0.34481,99,61
0.34042,99,61
0.32943,99,61
0.32381,99,61
0.31844,99,61
0.31306,99,61
0.30305,99,61
0.29841,99,61
0.29402,99,61
0.28962,99,61
0.28449,99,61
0.28156,99,61
0.27839,99,61
0.27546,99,61
0.27009,99,61
0.26740,99,61
0.26496,99,61
0.26276,99,61
0.25812,99,61
0.25568,99,61
0.25421,99,61
0.25324,99,61
0.24957,99,61
0.24737,99,61
0.24493,99,61
0.24249,99,61
0.23736,99,61
0.23541,99,61
0.23419,99,61
0.23468,99,61
0.24225,99,61
0.25104,99,61
0.26447,99,61
0.28303,99,61
0.33675,99,61
0.37070,99,61
0.40806,99,61
0.44713,99,61
0.52405,99,61
0.55873,99,61
0.58584,99,61
0.60708,99,61
0.64371,99,61
0.65665,99,61
0.66569,99,61
0.67106,99,61
0.67350,99,61
0.67131,99,61
0.66716,99,61
0.66129,99,61
0.64615,99,61
0.63590,99,61
0.62418,99,61
0.61074,99,61
0.58022,99,61
0.56337,99,61
0.54628,99,61
0.52918,99,61
0.49670,99,61
0.48156,99,61
0.46911,99,61
0.45836,99,61
0.43736,99,61
0.42808,99,61
0.41978,99,61
0.41245,99,61
0.40000,99,61
0.39463,99,61
0.38950,99,61
0.38462,99,61
0.37656,99,61
0.37192,99,61
0.36703,99,61
0.36166,99,61
0.35043,99,61
0.34457,99,61
0.33871,99,61
0.33284,99,61
0.32137,99,61
0.31575,99,61
0.31160,99,61
0.30842,99,61
0.30037,99,61
0.29646,99,61
0.29280,99,61
0.28938,99,61
0.28303,99,61
0.28010,99,61
0.27717,99,61
0.27424,99,61
0.27131,99,61
0.26935,99,61
0.26716,99,61
0.26496,99,61
0.26081,99,61
0.25861,99,61
0.25641,99,61
0.25421,99,61
0.24957,99,61
0.24713,99,61
0.24567,99,61
0.24444,99,61
0.24078,99,61
0.23932,99,61
0.23883,99,61
0.24029,99,61
0.25348,99,61
0.27228,99,61
0.29963,99,61
0.32943,99,61
0.38877,99,61
0.42540,99,61
0.46593,99,61
0.50818,99,61
0.58974,99,61
0.62564,99,61
0.65690,99,61
0.68303,99,61
0.71893,99,61
0.72943,99,61
0.73480,99,61
0.73651,99,61
0.73553,99,61
0.73236,99,61
0.72723,99,61
0.72039,99,61
0.70061,99,61
0.68791,99,61
0.67350,99,61
0.65714,99,61
0.62540,99,61
0.60781,99,61
0.58926,99,61
0.57070,99,61
0.53529,99,61
0.51917,99,61
0.50427,99,61
0.49084,99,61
0.46862,99,61
0.45934,99,61
0.45201,99,61
0.44591,99,61
0.43419,99,61
0.42857,99,61
0.42295,99,61
0.41734,99,61
0.40610,99,61
0.40049,99,61
0.39463,99,61
0.38852,99,61
0.37875,99,61
0.37338,99,61
0.36752,99,61
0.36166,99,61
0.35043,99,61
0.34530,99,61
0.34017,99,61
0.33504,99,61
0.32601,99,61
0.32161,99,61
0.31844,99,61
0.31624,99,61
0.31013,99,61
0.30696,99,61
0.30403,99,61
0.30110,99,61
0.29573,99,61
0.29304,99,61
0.29035,99,61
0.28767,99,61
0.28523,99,61
0.28352,99,61
0.28132,99,61
0.27888,99,61
0.27375,99,61
0.27106,99,61
0.26862,99,61
0.26593,99,61
0.26105,99,61
0.25983,99,61
0.25958,99,61
0.26007,99,61
0.26862,99,61
0.27912,99,61
0.29524,99,61
0.31746,99,61
0.38022,99,61
0.41954,99,61
0.46227,99,61
0.50672,99,61
0.57973,99,61
0.61587,99,61
0.65006,99,61
0.68034,99,61
0.72527,99,61
0.73993,99,61
0.74994,99,61
0.75604,99,61
0.75873,99,61
0.75629,99,61
0.75189,99,61
0.74628,99,61
0.73065,99,61
0.72015,99,61
0.70769,99,61
0.69353,99,61
0.66007,99,61
0.64176,99,61
0.62295,99,61
0.60415,99,61
0.57192,99,61
0.55580,99,61
0.54017,99,61
0.52527,99,61
0.49866,99,61
0.48742,99,61
0.47741,99,61
0.46862,99,61
0.46862,99,61
0.46862,99,61
0.46862,99,61
0.43932,99,61
0.42833,99,61
0.42271,99,61
0.41685,99,61
0.41074,99,61
0.39829,99,61
0.39194,99,61
0.38559,99,61
0.37900,99,61
0.36899,99,61
0.36337,99,61
0.35751,99,61
0.35140,99,61
0.33993,99,61
0.33480,99,61
0.32991,99,61
0.32527,99,61
0.31697,99,61
0.31429,99,61
0.31209,99,61
0.30940,99,61
0.30305,99,61
0.29988,99,61
0.29670,99,61
0.29353,99,61
0.28767,99,61
0.28498,99,61
0.28254,99,61
0.28010,99,61
0.27766,99,61
0.27595,99,61
